13114333.407490 2.803E-43 3.001E-04.04000.000 8889.82020.660.000000       X1/2   6       X1/2   1                QQ 16.5fe     242010 5 2 2 0 1 0    68.0   68.0
13114334.348000 8.836E-46 3.510E-05.04000.000 9695.38890.660.000000       X1/2   5       X1/2   0                QQ 22.5ef     232010 5 2 2 0 1 0    92.0   92.0
13114335.344860 9.573E-57 1.411E-01.04000.00016522.44040.660.000000       X3/2  10       X3/2   4                RR 14.5ee     242010 5 2 2 0 1 0    64.0   60.0
13114336.781110 4.051E-46 1.402E-04.04000.00010038.58450.660.000000       X1/2   7       X3/2   2                RQ 13.5ef     232010 5 2 2 0 1 0    56.0   56.0
13114338.176300 7.511E-57 1.419E-01.04000.00016560.18160.660.000000       X1/2  10       X1/2   4                RR 13.5ee     242010 5 2 2 0 1 0    60.0   56.0
13114339.467950 1.857E-58 5.875E-04.04000.00016241.07120.660.000000       X1/2   9       X1/2   3                QQ 18.5fe     242010 5 2 2 0 1 0    76.0   76.0
13114339.638900 7.661E-57 1.420E-01.04000.00016556.15620.660.000000       X1/2  10       X1/2   4                RR 13.5ff     242010 5 2 2 0 1 0    60.0   56.0
13114340.255300 4.184E-46 1.403E-04.04000.00010031.96960.660.000000       X1/2   7       X3/2   2                RQ 13.5fe     232010 5 2 2 0 1 0    56.0   56.0
13114343.322490 3.404E-38 2.219E-01.04000.000 7542.30760.660.000000       X1/2   7       X1/2   2                PP  4.5ee     342010 5 2 2 0 1 0    16.0   20.0
13114343.458130 3.403E-38 2.218E-01.04000.000 7542.33210.660.000000       X1/2   7       X1/2   2                PP  4.5ff     342010 5 2 2 0 1 0    16.0   20.0
13114345.504490 5.533E-43 4.724E-04.04000.000 8854.62160.660.000000       X3/2   6       X3/2   1                QQ 17.5fe     242010 5 2 2 0 1 0    72.0   72.0
13114346.133570 2.909E-43 3.009E-04.04000.000 8882.35960.660.000000       X1/2   6       X1/2   1                QQ 16.5ef     242010 5 2 2 0 1 0    68.0   68.0
13114349.546730 2.750E-54 2.518E-05.04000.00013656.42620.660.000000       X3/2   7       X1/2   1                OP 23.5ee     232010 5 2 2 0 1 0    92.0   96.0
13114350.649290 1.596E-39 3.328E-03.06500.000 7248.42360.660.000000       X3/2   7       X1/2   2                PQ  2.5ef     332010 5 2 2 0 1 0    12.0   12.0
13114351.012590 1.598E-39 3.328E-03.06500.000 7248.16530.660.000000       X3/2   7       X1/2   2                PQ  2.5fe     332010 5 2 2 0 1 0    12.0   12.0
13114352.382640 1.935E-58 5.891E-04.04000.00016232.80210.660.000000       X1/2   9       X1/2   3                QQ 18.5ef     242010 5 2 2 0 1 0    76.0   76.0
